Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
1,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
2,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
3,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
4,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
5,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
6,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
7,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
8,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
9,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
10,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
11,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
12,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
13,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
14,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
15,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
16,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
17,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
18,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
19,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
20,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
21,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
22,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
23,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
24,0.665596919127086,1.0,103958.12235689163,1.0,0.0,0.665596919127086,0,1.0,0.0,0.6838592233009708,1.0,134087.23496496677,1.0,0.0,0.6838592233009708,0,1.0,0.0,1.0,1.0,30129.112608075142,1.0,0.0,1.0,0,1.0,0
